id,pid,feedback_date,rating,feedback
12,SWIEHF3EF5PZAZUY,8/8/2015,4,"nice, beautiful color, perfectly fit , good style in the rest. composition is not, but fabric light and comfortable."
2,SWIEHF3EF5PZAZUY,9/1/2015,5,"excellent, very nice, bright, solid color. rus on. size 3xl fit 58. delivered very fast. more order need other color."
3,SWIEHF3EF5PZAZUY,7/20/2015,2,quality is very bad. will not order again from here. 
4,SWIEHF3EF5PZAZUY,6/16/2017,4,Arrived in Canada in less than a month with ePacket. Fits good and feels nice. Fairly thin material but doesnt show through. Lots of stretch to it.
5,SWIEHF3EF5PZAZUY,8/11/2016,3,"Though the fit was perfect, colour of the t-shirt came off on washing. No washing instrctions also given. "
6,SWIEHF3EF5PZAZUY,7/8/2015,1,Had black marks on the shirt . I will return it. Looks like second-hand clothes.
7,SWIEHF3EF5PZAZUY,9/1/2015,2,Material is nott cotton. Order for L i guess received small size ..Or may be my bad ..overall cute print ..true to picture
8,BOTEGYTZ2T6WUJMM,7/3/2015,1,I don’t like it. It’s not at all what I have imagined. I always buy M in T-shirt’s because I like to wear a little loose T-shirt. But this is too tight for a size M.
9,BOTEGYTZ2T6WUJMM,8/8/2015,5,so happy with this buy :) I highly recommend buying this.
10,BOTEGYTZ2T6WUJMM,7/20/2015,4,Must buy. Amazing quality. Amazing fit. Material is super soft. Best for summers
11,BOTEGYTZ2T6WUJMM,7/1/2015,5,"AMAZING, WONDERFUL, VERY VERY BEAUTIFUL ITEM AND HIGH QUALITY... EXCELLENT IN 1 WORD I LIKED VERY MUCH"
12,BOTEGYTZ2T6WUJMM,8/5/2015,3,"the shirt don't have a drape good, the sleeve is short and the collar per come the loose stripe not stands as pictured."
13,BOTEGYTZ2T6WUJMM,7/20/2015,2,"The price is nice, quality is good, but the material is pricked. Very uncomfortable, I will never order this if I know. It is not possible to wear at all."
14,SRTEH2FECMGNZJXJ,5/3/2014,2,Blouse looks exactly as described but it has a stain in the right sleeve! Defected pieces are not good. Please replace.
15,SRTEH2FECMGNZJXJ,5/5/2014,4,"The product shipped very quickly and arrived in great condition! I am a little displeased with the fabric and it was made clear that tie was not attached to the shirt, but I can make it work. The shirt fits EXACTLY as described and the sizing chart was spot on!"
16,ARPEGDHSXZJSHGSN,9/2/2010,1, I order 3 item but they send it one by one and the post office they charge me each item 28 aed i spent 160 aed for the item and is not worth it the price to the item..im really disappointed.
17,ARPEGDHSXZJSHGSN,5/2/2014,1,i waited for my product more than 4 months seller always use to say me wait wait i waited for so long time but my parcel didn’t came i fully don’t recommend this seller
18,ARPEGDHSXZJSHGSN,5/6/2014,3,"It is really nice, but mine had a lot of threads sticking out. In addition, it is too short. Other than that it os great!"
19,PSOEH3ZYYFETGCCD,5/6/2014,5,It’s my first time to shop clothes online. And I’m so impressed with the price and quality of this blouse. The package looks good. I think I look good when I wear this blouse. I intend to shop more here.
20,PSOEH3ZYYFETGCCD,5/6/2014,4,the blouses lovley and the material is excellent. fast delivery.
21,PSOEH3ZYYFETGCCD,5/6/2014,4," This sweater is completely stretchy. It is very comfortable, but needs an undershirt to be work appropriate. I pushed the sleeves up, but they actually made it to my wrists. "
22,PSOEH3ZYYFETGCCD,5/7/2014,3,the cardigan is nice colour also is good but shipping is very late plus the seller doesn't response to ur message after messaging number of times
23,PSOEH3ZYYFETGCCD,4/3/2014,2,The packaging was not at all good. The product came defected. No care was taken while shipping the product. 
24,SRTEH2FGBDJGX8FW,4/7/2014,3,"lovely cardigan! color is very nice, feel soft. only shortcomings it is made of synthetic which stick to the body. "
25,SRTEH2FGBDJGX8FW,4/6/2014,3,"The sweater got good quality, nice color, fast shipping. Only thing what was the problem, was the size. I use size 34 (S) and orderd size Large, but it came like X-S. Too small for me."
26,SRTEH2FGBDJGX8FW,4/3/2014,1,"The zipper is horrible quality, the elastic on the bottom is pulled too tight so the fabric bunches quite bad and it can’t be zipped up."
27,SRTEH2FGBDJGX8FW,4/7/2014,4,Cute teddy bear coat! I expected it to be more oversized but I still love it.
28,DIAEJ6Z8BEDTGGYY,4/3/2014,5,Love it !! Super comfy and super nice ! Came really fast
29,DIAEJ6Z8BEDTGGYY,4/7/2014,3,"The zipper doesn’t work well. The fabric keeps getting stuck in the zipper and the zipper is almost tearing the fabric. Furthermore, the jacket does look like the pictures, but it’s just uncomfortable to wear when you can’t close it properly."
30,DIAEJ6Z8BEDTGGYY,4/7/2014,2,"The zipper doesn't work very nice, the color is darker than i expected, and it's not really the winter coat, it's very thin actually"
31,DIAEJ6Z8BEDTGGYY,4/6/2014,1,"Unfortunately, the complete plastic inner jacket very bad i really have description is as a/fabric vest. is not the way."
32,SSSEHFZ2TRZBAPF9,4/6/2014,4,"It have a really good quality for the price, and the fabric really warm. and it came in about 10 to 15 days."
33,SSSEHFZ2TRZBAPF9,4/6/2014,5,"Coat good sweatshirt. quality is good, shipping fast. color beautiful, chocolate. satisfied purchase. picture color match seller"
34,PKBEGBTRKKHU26YQ,4/7/2014,4,Bought for wife. description of not is made from what material clear... turned but much better type-something :) i expected than thick fleece just under our spring. pretty good. high quality made.
35,WSCEFUV4TVWT73ZB,4/7/2014,5,"Loved the product, arrived in optimal conditions and well packed, super warm nice and good quality."
36,WSCEFUV4TVWT73ZB,4/7/2014,5,"Very consulting seller. size is absolutely correct. beautiful, however a road only defective. vietnam to 17 day delivery within, very fast. thanks."
37,PPSEGFYAGD8FYUXV,4/7/2014,4,"Good quality, good material, very fast shipping satisfied wife"
38,PPSEGFYAGD8FYUXV,1/11/2017,4,"Very nice and beautiful, good quality, perfect, thank you seller"
39,SRTEH2FF9KEDEFGF,3/17/2016,5,"Really super raincoat!!!!! quality is excellent, the seller is very gregarious, thank you for information. for the price"
40,SRTEH2FF9KEDEFGF,2/3/2017,3,Unfortunately the size was too small.
41,SRTEH2FF9KEDEFGF,4/22/2017,1,"The product what I received is so unfinished , no proper thread cutting, button holes and fit. poor quality products"
42,SHOEH3DZBFR88SCK,9/7/2016,1,"The item was way too small, the mesures unaccurate."
43,PSOEH3ZYDMSYARJ5,9/12/2016,2,"Not as shown in the picture. darker color, shorter sleeves, the quality is not that good either. Not worth the money. The ripped sleeve looks completely different"
44,SHOEH4KM2W3Z6EH5,1/24/2017,4,"Perfect product, and came very fast ! Love it"
45,PSOEH3ZYDMSYARJ5,9/9/2016,5,Quality excellent! recommend
46,PSOEH3ZYDMSYARJ5,4/23/2017,1,"Fabric very thin and short sleeves, i didn't like it"
47,SHIEHS7XJ954NRYY,7/27/2016,2,"Jacket is very poor quality, even windbreaker, thinner and more..."
48,SHOEH4KM2W3Z6EH5,1/13/2017,4,"Very good product, exactly as described, however delay in delivery."
49,SHIEHS7XJ954NRYY,7/11/2017,5,Good. beautiful dot windbreaker slim simple green. russian on top spring summer dot the end of el had to m
50,SHOEH4KM2W3Z6EH5,4/1/2016,4,"Good product, according to the specifications. I'm gonna buy more products from this seller."
51,SHOEH4GRSUBJGZXE,1/30/2017,2,"Various defects na sewing, pie, or dots big the shows, fabric bad and still stayed large."
52,SRTEH2FVUHAAVH9X,11/6/2016,1,The material is not as good as described. It looks elegant in the picture but not in actual.
53,SRTEH2FVUHAAVH9X,11/11/2016,3,"The sewing quality is very bad. The fabric is good, but if the product was for Zara, it surely did not pass quality control. Several problems with sewing. I tried to fix it, but still not good. Size is small. I am very skinny, very thin arms and still was tight in the upper arm. It fits, but is limit."
54,SRTEH2FVUHAAVH9X,11/17/2016,5,"Fast shipping and delivery. Thank you seller, I recommend."
55,DIAEJ6Z8KQFWDEGH,4/20/2017,4,Beautiful and fits well for me. it's very thin but ok for the price. I'm satisfied
56,DIAEJ6Z8KQFWDEGH,1/12/2017,2,"short and narrow, as clear sewn .. that is not... not satisfied in"
57,SRTEH2FVVKRBAXHB,6/29/2017,3,"customized it very fast, not a goods qualitative, defective, side and size is a little"
58,SRTEH2FVVKRBAXHB,6/29/2017,4,Very beautiful jacket quality is correct. size s i/36 i have it me customize size l fit well. suit jacket light looks but it is hot pink red. delivery time correct.
59,SBEEH3QGYGHFUEXN,6/30/2017,5,"Very class!!!! delivery fast, took, an insanely satisfied! "
60,SBEEH3QGYGHFUEXN,6/30/2017,5,blazer well packed.
61,SUDEJFBRVYEUZUDH,12/2/2016,1,is not really good material.
62,SUDEJFBRVYEUZUDH,1/10/2017,2,The fabric is not very beautiful
63,SBEEH3QGAYAEPRCG,11/19/2016,4,"I have nothing to complain about the quality of the skirt! Great sewing, and finishing.Great product"
64,SBEEH3QGAYAEPRCG,3/17/2017,5,"ABSOLUTELY LOVE THIS SKIRT!! great fabric, perfect fit. its a little short, but it doesn't look bad and if you're uncomfortable with the shortness you could wear spandex underneath. but love it!"
65,SBEEH3QGAYAEPRCG,2/7/2017,4,"This came so perfect, couldn’t be more happy with it"
66,SWIEHF3H7WG6VGMR,11/21/2016,1,The skirt came without a hole for the button
67,SWIEHF3H7WG6VGMR,5/21/2017,1,"Horror skirt. immediately to throw out. one on incomprehensible. i hip 89 cm, waist 64 cm.  hip, one person can still in the waist and fit."
68,SBEEH3QGWRGG3J6Q,12/23/2016,4,Exactly same as the photo shown. Perfect fitting good quality material is worth the price. I love it.
69,SBEEH3QGWRGG3J6Q,6/21/2017,5,"One of the best things I’ve ordered from here, looks just like the picture and looks even better on! Love the little belt that comes with it and the buttons to close it up."
70,PSOEH3ZXRTZJUVXM,6/25/2017,3,Material is good quality and the style is very cute!
71,PSOEH3ZXRTZJUVXM,7/5/2017,2,They were way to small... they size guide said that the thigh size was 62cm and my thigh is 57cm so they didnt fit very disappointed that they didnt fit but its nice quality though
